,,,,,,,,,,13.,25.,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling full_avg
0.,1.,,,,,,,,8.,3.,9.,,,,
1.,2.,,,,,,,,,2.,1.,,,,
2.,3.,,,,,,,,,2.,3.,,,,
3.,4.,,,,,,,,,2.,5.,,,,
,,,,,,,,,4.,4.,7.,,,,
,,,,,,,,,2.,13.,25.,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling row_avg
0.,1.,,,,,,,,8.,3.,9.,,,,
1.,2.,,,,,,,,1.5,2.,1.,,,,
2.,3.,,,,,,,,2.5,2.,3.,,,,
3.,4.,,,,,,,,3.5,2.,5.,,,,
,,,,,,,,,4.,4.,7.,,,,
,,,,,,,,,2.,13.,25.,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling col_avg
0.,1.,,,,,,,,8.,3.,9.,,,,
1.,2.,,,,,,,,1.5,2.,1.,,,,
2.,3.,,,,,,,,2.5,2.,3.,,,,
3.,4.,,,,,,,,3.5,2.,5.,,,,
,,,,,,,,,4.,4.,7.,,,,
,,,,,,,,,2.,13.,25.,,,,
,,,,,,,,,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling full_min
0.,1.,,,,,,,1.,8.,3.,9.,,,,
1.,2.,,,,,,,,1.5,2.,1.,,,,
2.,3.,,,,,,,,2.5,2.,3.,,,,
3.,4.,,,,,,,,3.5,2.,5.,,,,
,,,,,,,,,4.,4.,7.,,,,
,,,,,,,,,2.,13.,25.,,,,
,,,,,,,,,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling row_min
0.,1.,,,,,,,1.,8.,3.,9.,,,,
1.,2.,,,,,,,0.,1.5,2.,1.,,,,
2.,3.,,,,,,,1.,2.5,2.,3.,,,,
3.,4.,,,,,,,2.,3.5,2.,5.,,,,
,,,,,,,,3.,4.,4.,7.,,,,
,,,,,,,,,2.,13.,25.,,,,
,,,,,,,,,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling col_min
0.,1.,,,,,,,1.,8.,3.,9.,,,,
1.,2.,,,,,,,0.,1.5,2.,1.,,,,
2.,3.,,,,,,,1.,2.5,2.,3.,,,,
3.,4.,,,,,,,2.,3.5,2.,5.,,,,
,,,,,,,,3.,4.,4.,7.,,,,
,,,,,,,0.,1.,2.,13.,25.,,,,
,,,,,,,,,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling full_max
0.,1.,,,,,,,1.,8.,3.,9.,,,,
1.,2.,,,,,,,0.,1.5,2.,1.,,,,
2.,3.,,,,,,,1.,2.5,2.,3.,,,,
3.,4.,,,,,,,2.,3.5,2.,5.,,,,
,,,,,,,,3.,4.,4.,7.,,,,
,,,,,,,0.,1.,2.,13.,25.,,,,
,,,,,,,,25.,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling row_max
0.,1.,,,,,,1.,1.,8.,3.,9.,,,,
1.,2.,,,,,,2.,0.,1.5,2.,1.,,,,
2.,3.,,,,,,3.,1.,2.5,2.,3.,,,,
3.,4.,,,,,,4.,2.,3.5,2.,5.,,,,
,,,,,,,,3.,4.,4.,7.,,,,
,,,,,,,0.,1.,2.,13.,25.,,,,
,,,,,,,,25.,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling col_max
0.,1.,,,,,,1.,1.,8.,3.,9.,,,,
1.,2.,,,,,,2.,0.,1.5,2.,1.,,,,
2.,3.,,,,,,3.,1.,2.5,2.,3.,,,,
3.,4.,,,,,,4.,2.,3.5,2.,5.,,,,
,,,,,,,3.,3.,4.,4.,7.,,,,
,,,,,,,0.,1.,2.,13.,25.,,,,
,,,,,,,,25.,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling add_const
0.,1.,10.,11.,,,,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,,,,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,,,,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,,,,4.,2.,3.5,2.,5.,,,,
,,,,,,,3.,3.,4.,4.,7.,,,,
,,,,,,,0.,1.,2.,13.,25.,,,,
,,,,,,,,25.,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling subt_const
0.,1.,10.,11.,-10.,-9.,,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,,4.,2.,3.5,2.,5.,,,,
,,,,,,,3.,3.,4.,4.,7.,,,,
,,,,,,,0.,1.,2.,13.,25.,,,,
,,,,,,,,25.,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling mult_const
0.,1.,10.,11.,-10.,-9.,10.,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,20.,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,30.,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,40.,4.,2.,3.5,2.,5.,,,,
,,,,,,,3.,3.,4.,4.,7.,,,,
,,,,,,,0.,1.,2.,13.,25.,,,,
,,,,,,,,25.,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling div_const
0.,1.,10.,11.,-10.,-9.,10.,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,20.,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,30.,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,40.,4.,2.,3.5,2.,5.,,,,
0.,0.1,,,,,,3.,3.,4.,4.,7.,,,,
0.1,0.2,,,,,,0.,1.,2.,13.,25.,,,,
,,,,,,,,25.,3.58333333333,4.33333333333,8.33333333333,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling add_range
0.,1.,10.,11.,-10.,-9.,10.,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,20.,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,30.,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,40.,4.,2.,3.5,2.,5.,,,,
0.,0.1,,,,,,3.,3.,4.,4.,7.,,,,
0.1,0.2,,,,,,0.,1.,2.,13.,25.,,,,
10.,12.,,,,,,,25.,3.58333333333,4.33333333333,8.33333333333,,,,
12.,14.,,,,,,,,,,,,,,
14.,16.,,,,,,,,,,,,,,
16.,18.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling subt_range
0.,1.,10.,11.,-10.,-9.,10.,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,20.,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,30.,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,40.,4.,2.,3.5,2.,5.,,,,
0.,0.1,,,,,,3.,3.,4.,4.,7.,,,,
0.1,0.2,,,,,,0.,1.,2.,13.,25.,,,,
10.,12.,-10.,-10.,,,,,25.,3.58333333333,4.33333333333,8.33333333333,,,,
12.,14.,-10.,-10.,,,,,,,,,,,,
14.,16.,-10.,-10.,,,,,,,,,,,,
16.,18.,-10.,-10.,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling mult_range
0.,1.,10.,11.,-10.,-9.,10.,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,20.,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,30.,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,40.,4.,2.,3.5,2.,5.,,,,
0.,0.1,,,,,,3.,3.,4.,4.,7.,,,,
0.1,0.2,,,,,,0.,1.,2.,13.,25.,,,,
10.,12.,-10.,-10.,0.,11.,,,25.,3.58333333333,4.33333333333,8.33333333333,,,,
12.,14.,-10.,-10.,11.,24.,,,,,,,,,,
14.,16.,-10.,-10.,24.,39.,,,,,,,,,,
16.,18.,-10.,-10.,39.,56.,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling div_range
0.,1.,10.,11.,-10.,-9.,10.,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,20.,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,30.,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,40.,4.,2.,3.5,2.,5.,,,,
0.,0.1,,,,,,3.,3.,4.,4.,7.,,,,
0.1,0.2,,,,,,0.,1.,2.,13.,25.,,,,
10.,12.,-10.,-10.,0.,11.,inf,11.,25.,3.58333333333,4.33333333333,8.33333333333,,,,
12.,14.,-10.,-10.,11.,24.,11.,6.,,,,,,,,
14.,16.,-10.,-10.,24.,39.,6.,4.33333333333,,,,,,,,
16.,18.,-10.,-10.,39.,56.,4.33333333333,3.5,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling add_range2
0.,1.,10.,11.,-10.,-9.,10.,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,20.,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,30.,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,40.,4.,2.,3.5,2.,5.,,,,
0.,0.1,,,,,,3.,3.,4.,4.,7.,,,,
0.1,0.2,,,,,,0.,1.,2.,13.,25.,,,,
10.,12.,-10.,-10.,0.,11.,inf,11.,25.,3.58333333333,4.33333333333,8.33333333333,,,,
12.,14.,-10.,-10.,11.,24.,11.,6.,,,,,,,,
14.,16.,-10.,-10.,24.,39.,6.,4.33333333333,,,,,,,,
16.,18.,-10.,-10.,39.,56.,4.33333333333,3.5,,,,,,,,
11.,13.,,,,,,,,,,,,,,
13.,15.,,,,,,,,,,,,,,
15.,17.,,,,,,,,,,,,,,
17.,19.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling subt_range2
0.,1.,10.,11.,-10.,-9.,10.,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,20.,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,30.,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,40.,4.,2.,3.5,2.,5.,,,,
0.,0.1,,,,,,3.,3.,4.,4.,7.,,,,
0.1,0.2,,,,,,0.,1.,2.,13.,25.,,,,
10.,12.,-10.,-10.,0.,11.,inf,11.,25.,3.58333333333,4.33333333333,8.33333333333,,,,
12.,14.,-10.,-10.,11.,24.,11.,6.,,,,,,,,
14.,16.,-10.,-10.,24.,39.,6.,4.33333333333,,,,,,,,
16.,18.,-10.,-10.,39.,56.,4.33333333333,3.5,,,,,,,,
11.,13.,-11.,-11.,,,,,,,,,,,,
13.,15.,-11.,-11.,,,,,,,,,,,,
15.,17.,-11.,-11.,,,,,,,,,,,,
17.,19.,-11.,-11.,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling mult_range2
0.,1.,10.,11.,-10.,-9.,10.,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,20.,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,30.,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,40.,4.,2.,3.5,2.,5.,,,,
0.,0.1,,,,,,3.,3.,4.,4.,7.,,,,
0.1,0.2,,,,,,0.,1.,2.,13.,25.,,,,
10.,12.,-10.,-10.,0.,11.,inf,11.,25.,3.58333333333,4.33333333333,8.33333333333,,,,
12.,14.,-10.,-10.,11.,24.,11.,6.,,,,,,,,
14.,16.,-10.,-10.,24.,39.,6.,4.33333333333,,,,,,,,
16.,18.,-10.,-10.,39.,56.,4.33333333333,3.5,,,,,,,,
11.,13.,-11.,-11.,0.,22.,,,,,,,,,,
13.,15.,-11.,-11.,22.,48.,,,,,,,,,,
15.,17.,-11.,-11.,48.,78.,,,,,,,,,,
17.,19.,-11.,-11.,78.,112.,,,,,,,,,,
,,,,,,,,,,,,,,,

calling div_range2
0.,1.,10.,11.,-10.,-9.,10.,1.,1.,8.,3.,9.,,,,
1.,2.,11.,12.,-9.,-8.,20.,2.,0.,1.5,2.,1.,,,,
2.,3.,12.,13.,-8.,-7.,30.,3.,1.,2.5,2.,3.,,,,
3.,4.,13.,14.,-7.,-6.,40.,4.,2.,3.5,2.,5.,,,,
0.,0.1,,,,,,3.,3.,4.,4.,7.,,,,
0.1,0.2,,,,,,0.,1.,2.,13.,25.,,,,
10.,12.,-10.,-10.,0.,11.,inf,11.,25.,3.58333333333,4.33333333333,8.33333333333,,,,
12.,14.,-10.,-10.,11.,24.,11.,6.,,,,,,,,
14.,16.,-10.,-10.,24.,39.,6.,4.33333333333,,,,,,,,
16.,18.,-10.,-10.,39.,56.,4.33333333333,3.5,,,,,,,,
11.,13.,-11.,-11.,0.,22.,inf,5.5,,,,,,,,
13.,15.,-11.,-11.,22.,48.,5.5,3.,,,,,,,,
15.,17.,-11.,-11.,48.,78.,3.,2.16666666667,,,,,,,,
17.,19.,-11.,-11.,78.,112.,2.16666666667,1.75,,,,,,,,
,,,,,,,,,,,,,,,

